borough,neighborhood,post_code
Not assigned,"Not assigned
",M9X
Not assigned,"Not assigned
",M1Y
Not assigned,"Not assigned
",M2Y
Not assigned,"Not assigned
",M3Y
Downtown Toronto,Church and Wellesley,M4Y
Not assigned,"Not assigned
",M5Y
Not assigned,"Not assigned
",M6Y
East Toronto,"Business Reply Mail Processing Centre 969 Eastern
",M7Y
Etobicoke,Humber Bay,M8Y
Etobicoke,"King's Mill Park
",M8Y
Etobicoke,"Kingsway Park South East
",M8Y
Etobicoke,Mimico NE,M8Y
Etobicoke,Old Mill South,M8Y
Etobicoke,The Queensway East,M8Y
Etobicoke,Royal York South East,M8Y
Etobicoke,Sunnylea,M8Y
Not assigned,"Not assigned
",M9Y
Not assigned,"Not assigned
",M1Z
Not assigned,"Not assigned
",M2Z
Not assigned,"Not assigned
",M3Z
Not assigned,"Not assigned
",M4Z
Not assigned,"Not assigned
",M5Z
Not assigned,"Not assigned
",M6Z
Not assigned,"Not assigned
",M7Z
Etobicoke,"Kingsway Park South West
",M8Z
Etobicoke,Mimico NW,M8Z
Etobicoke,The Queensway West,M8Z
Etobicoke,"Royal York South West
",M8Z
Etobicoke,"South of Bloor
",M8Z
Not assigned,"Not assigned
",M9Z
